keeney-and-basford-funeral-homes-pa,"Keeney and Basford Funeral Homes Pa",dfp,keeney-and-basford-funeral-homes,"Keeney and Basford Funeral Homes",dfp,0.90,22,no,0.89
the-frederick-city-market,"The Frederick City Market",dfp,frederick-city-market,"Frederick City Market",dfp,1.00,48,no,0.89
candy-kitchen-6,"Candy Kitchen 6",dfp,the-candy-kitchen,"The Candy Kitchen",dfp,0.87,15,no,0.89
national-museum-civil-war-medicine-frederick,"National Museum of Civil War Medicine",seed,national-museum-of-civil-war-medicine,"National Museum of Civil War Medicine",dfp,1.00,54,no,0.88
the-tasting-room-frederick,"The Tasting Room",manual,the-tasting-room,"The Tasting Room",dfp,1.00,56,no,0.88
kens-automotive-transmission,"Kens Automotive Transmission",dfp,kens-automotive-transmissions,"Kens Automotive Transmissions",dfp,0.97,47,no,0.88
maryellen-little-fairway-independent-mortgage-corporation-loan-officer,"Maryellen Little Fairway Independent Mortgage Corporation Loan Officer",dfp,vicky-weldon-fairway-independent-mortgage-corporation-loan-officer,"Vicky Weldon Fairway Independent Mortgage Corporation Loan Officer",dfp,0.80,0,no,0.88
mcclintock-distillery,"Mcclintock Distillery",dfp,mcclintock-distilling,"Mcclintock Distilling",dfp,0.86,17,no,0.88
court-street-parking-garage-frederick,"Court Street Parking Deck",seed,court-street-parking-deck,"Court Street Parking Deck",dfp,1.00,64,no,0.86
indellibelle,"Indellibelle",dfp,indelli-belle,"Indelli Belle",dfp,0.92,43,no,0.86
weinberg-center-for-the-arts-frederick,"Weinberg Center for the Arts",seed,weinberg-center-for-the-arts,"Weinberg Center for the Arts",dfp,1.00,74,no,0.84
carroll-creek-parking-garage-frederick,"Carroll Creek Parking Deck",seed,carroll-creek-parking-deck,"Carroll Creek Parking Deck",dfp,1.00,82,no,0.82
dancing-bear-toys-and-games,"Dancing Bear Toys and Games",dfp,dancing-bear-toys-and-gifts,"Dancing Bear Toys and Gifts",dfp,0.87,44,no,0.82
the-law-offices-of-thomas-p-sinton-pa,"The Law Offices of Thomas P Sinton Pa",dfp,the-law-offices-of-thomas-p-sinton,"The Law Offices of Thomas P Sinton",dfp,0.91,65,no,0.80
c-burr-artz-public-library-frederick,"C. Burr Artz Public Library",seed,c-burr-artz-public-library,"C Burr Artz Public Library",dfp,1.00,99,no,0.78
magoos-frederick,"Magoo's Pub & Eatery",manual,magoos-pub-and-eatery,"Magoos Pub and Eatery",dfp,1.00,113,no,0.75
tolbard-w-a-heating-and-air-conditioning,"Tolbard W a Heating and Air Conditioning",dfp,wa-tolbard-heating-and-air-conditioning,"Wa Tolbard Heating and Air Conditioning",dfp,0.81,63,no,0.74
catoctin-view-apartments,"Catoctin View Apartments",dfp,catoctin-manor-apartments,"Catoctin Manor Apartments",dfp,0.80,70,no,0.72
olde-mother-brewing-frederick,"Olde Mother Brewing",manual,olde-mother-brewing,"Olde Mother Brewing",dfp,1.00,132,no,0.71
carroll-creek-linear-park-frederick,"Carroll Creek Linear Park",seed,carroll-creek-linear-park,"Carroll Creek Linear Park",dfp,1.00,136,no,0.70
cohen-snyder-eisenberg-and-katzenberg,"Cohen Snyder Eisenberg and Katzenberg",dfp,cohen-snyder-eisenberg-katzenberg-pa,"Cohen Snyder Eisenberg Katzenberg Pa",dfp,0.92,127,no,0.67
a_slug,a_name,a_source,b_slug,b_name,b_source,name_sim,distance_m,place_id_match,score
